# universes/equity_universe.sample.csv
# Canonical equity universe with cross-vendor IDs and core metadata.
# Booleans are true/false. Keep empty string "" for N/A.

universe_id,dataset_id,as_of,ticker,name,legal_name,bbg_ticker,ric,isin,cusip,sedol,figi,exchange_mic,primary_listing,listing_country,incorporation_country,currency,reporting_currency,share_class,adr_ratio,lot_size,sector,industry,subindustry,gics,free_float_pct,shares_out,float_shares,fiscal_year_end,price_source,fund_source,delisted,delist_date,notes
core_equity,equity_universe,2025-01-02,AAPL,Apple Inc,Apple Inc.,AAPL US Equity,AAPL.O,US0378331005,037833100,2046251,BBG000B9XRY4,XNAS,true,US,US,USD,USD,ORD,,1,Information Technology,Technology Hardware,Consumer Electronics,45202010,0.87,15500000000,13485000000,09-30,BLP,BLP,false,,
core_equity,equity_universe,2025-01-02,MSFT,Microsoft Corp,Microsoft Corporation,MSFT US Equity,MSFT.O,US5949181045,594918104,2588173,BBG000BPH459,XNAS,true,US,US,USD,USD,ORD,,1,Information Technology,Software & Services,Systems Software,45103010,0.88,7450000000,6556000000,06-30,BLP,BLP,false,,
core_equity,equity_universe,2025-01-02,GOOGL,Alphabet Inc Class A,Alphabet Inc,GOOGL US Equity,GOOGL.O,US02079K3059,02079K305,BYVY8G0,BBG009S3NB30,XNAS,true,US,US,USD,USD,Class A,,1,Communication Services,Interactive Media & Services,Search/Ads,50202010,0.85,6800000000,5780000000,12-31,BLP,BLP,false,,
core_equity,equity_universe,2025-01-02,AMZN,Amazon.com Inc,Amazon.com, Inc.,AMZN US Equity,AMZN.O,US0231351067,023135106,2000019,BBG000BVPV84,XNAS,true,US,US,USD,USD,ORD,,1,Consumer Discretionary,Consumer Internet & Direct Marketing,Retail Platforms,25502020,0.90,10300000000,9270000000,12-31,BLP,BLP,false,,
core_equity,equity_universe,2025-01-02,TSLA,Tesla Inc,Tesla, Inc.,TSLA US Equity,TSLA.O,US88160R1014,88160R101,B616C79,BBG000N9MNX3,XNAS,true,US,US,USD,USD,ORD,,1,Consumer Discretionary,Automobiles,Automobile Manufacturers,25102010,0.82,3180000000,2600000000,12-31,BLP,BLP,false,,
core_equity,equity_universe,2025-01-02,RELIANCE_IN,Reliance Industries Ltd,Reliance Industries Limited,RIL IN Equity,RELI.NS,INE002A01018,,708790,BBG000BPHFS9,XNSE,true,IN,IN,INR,INR,ORD,,1,Energy,Integrated Oil & Gas,Oil & Gas,10102010,0.49,6760000000,3310000000,03-31,BLP,BLP,false,,"India primary"
core_equity,equity_universe,2025-01-02,NESN_SW,Nestlé S.A. Reg,Nestlé S.A.,NESN SW Equity,NESN.S,CH0038863350,,B1Y9TB3,BBG000C1ZKT6,XSWX,true,CH,CH,CHF,CHF,REG,,1,Consumer Staples,Food Products,Packaged Foods,30202010,0.90,2940000000,2646000000,12-31,BLP,BLP,false,,
core_equity,equity_universe,2025-01-02,0700_HK,Tencent Holdings Ltd,Tencent Holdings Limited,700 HK Equity,0700.HK,KYG875721634,,BMMV2K8,BBG000PQBFY7,XHKG,true,HK,KY,HKD,CNY,ORD,,100,Communication Services,Interactive Media & Services,Online Services,50202010,0.60,9640000000,5780000000,12-31,BLP,BLP,false,,"Incorp Cayman; reports in CNY"
core_equity,equity_universe,2025-01-02,BABA_ADR,Alibaba Group Holding Ltd ADR,Alibaba Group Holding Limited,BABA US Equity,BABA.K,US01609W1027,01609W102,BZ60WC6,BBG006L8G4H1,XNYS,false,US,KY,USD,CNY,ADR,8,1,Consumer Discretionary,Internet & Direct Marketing Retail,E-Commerce,25502020,0.80,2580000000,2060000000,03-31,BLP,BLP,false,,"ADR ratio 8:1 vs 9988 HK"
core_equity,equity_universe,2025-01-02,RIO_LN,Rio Tinto plc,Rio Tinto plc,RIO LN Equity,RIO.L,GB0007188757,,0718875,BBG000C0M4G4,XLON,true,GB,GB,GBP,USD,ORD,,1,Materials,Metals & Mining,Diversified Metals & Mining,15104020,0.79,1630000000,1288000000,12-31,BLP,BLP,false,,
